,Label,Text,ppData
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Go jurong point crazy Available bugis n great world la e buffet Cine get amore wat
1,0,Ok lar... Joking wif u oni...,Ok lar Joking wif u oni
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry 2 wkly comp win FA Cup final tkts 21st May 2005 Text FA 87121 receive entry question std txt rate T C apply 08452810075over18
3,0,U dun say so early hor... U c already then say...,U dun say early hor U c already say
4,0,"Nah I don't think he goes to usf, he lives around here though",Nah I think go usf live around though
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",FreeMsg Hey darling 3 week word back I like fun still Tb ok XxX std chgs send 1 50 rcv
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,Even brother like speak They treat like aid patent
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
8,1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER As value network customer select receivea 900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hour
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had mobile 11 month U R entitle Update late colour mobile camera Free Call The Mobile Update Co FREE 08002986030
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",I gon na home soon want talk stuff anymore tonight k I cry enough today
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SIX chance win CASH From 100 20 000 pound txt CSH11 send 87575 Cost 150p day 6days 16 TsandCs apply Reply HL 4 info
